maxsimulationtime=1000	models=Centroid	sdr=0.05	leadersmodeloffset=0.0,0.0,	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	groupsizes=5,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	selected=random initializer	width=500	height=500	selected=squarereflect	selected=NullPowerAlgorithm	maxspeed=10	minspeed=5	maxpausetime=10	selected=Random WayPoint	maxinitialdistance=30	extratraces=true	pergrouprange=false	adr=0.05	nodenumber=5	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	287	328	701	2046	0	0	true
1	1	259	309	7018	006	0	0	false
1	2	312	300	7027	2029	0	0	false
1	3	289	354	6087	406	0	0	false
1	4	263	330	7001	6026	0	0	false
2	0	281	333	701	2046	0	0	true
2	1	265	313	608	0072	0	0	false
2	2	307	305	7035	2031	0	0	false
2	3	288	347	6086	4046	0	0	false
2	4	270	329	6074	001	0	0	false
3	0	276	337	701	2046	0	0	true
3	1	270	317	7002	0085	0	0	false
3	2	302	311	7045	2032	0	0	false
3	3	287	341	7011	4028	0	0	false
3	4	277	330	6081	0031	0	0	false
4	0	270	342	701	2046	0	0	true
4	1	274	323	7005	1001	0	0	false
4	2	297	316	7003	2033	0	0	false
4	3	284	334	7006	4002	0	0	false
4	4	284	332	703	0072	0	0	false
5	0	265	346	701	2046	0	0	true
5	1	278	329	702	102	0	0	false
5	2	292	321	7029	2035	0	0	false
5	3	279	329	6085	3067	0	0	false
5	4	289	337	6079	1055	0	0	false
6	0	259	351	701	2046	0	0	true
6	1	281	335	702	1039	0	0	false
6	2	287	326	7022	2036	0	0	false
6	3	273	325	6075	3029	0	0	false
6	4	289	344	7035	2022	0	0	false
7	0	254	355	701	2046	0	0	true
7	1	282	342	6089	1059	0	0	false
7	2	282	332	7016	2037	0	0	false
7	3	267	324	6095	2098	0	0	false
7	4	285	349	7034	2041	0	0	false
8	0	248	360	701	2046	0	0	true
8	1	282	349	6075	1077	0	0	false
8	2	277	337	6099	2037	0	0	false
8	3	260	326	6096	2076	0	0	false
8	4	279	354	6088	2045	0	0	false
9	0	243	364	701	2046	0	0	true
9	1	281	356	7016	1093	0	0	false
9	2	272	341	6089	2038	0	0	false
9	3	253	328	6099	2063	0	0	false
9	4	274	359	6087	2045	0	0	false
10	0	237	369	701	2046	0	0	true
10	1	278	363	7019	2006	0	0	false
10	2	267	346	6076	2039	0	0	false
10	3	247	332	6088	2055	0	0	false
10	4	269	363	7043	2046	0	0	false
11	0	232	373	701	2046	0	0	true
11	1	275	369	7016	2016	0	0	false
11	2	262	351	7006	204	0	0	false
11	3	242	335	6084	2051	0	0	false
11	4	263	368	7027	2046	0	0	false
12	0	226	378	701	2046	0	0	true
12	1	271	375	7044	2023	0	0	false
12	2	257	356	7014	204	0	0	false
12	3	236	339	7045	2049	0	0	false
12	4	257	372	7032	2046	0	0	false
13	0	221	382	701	2046	0	0	true
13	1	266	381	7034	2029	0	0	false
13	2	251	360	7018	2041	0	0	false
13	3	230	344	6086	2047	0	0	false
13	4	252	377	7038	2046	0	0	false
14	0	215	387	701	2046	0	0	true
14	1	261	386	6091	2034	0	0	false
14	2	246	365	7039	2041	0	0	false
14	3	225	348	7006	2047	0	0	false
14	4	246	382	6097	2046	0	0	false
15	0	210	391	701	2046	0	0	true
15	1	257	391	7006	2037	0	0	false
15	2	241	370	6096	2042	0	0	false
15	3	219	353	7028	2046	0	0	false
15	4	241	386	7026	2046	0	0	false
16	0	204	396	701	2046	0	0	true
16	1	251	396	6091	2039	0	0	false
16	2	235	375	609	2042	0	0	false
16	3	213	357	704	2046	0	0	false
16	4	235	391	7037	2046	0	0	false
17	0	199	400	701	2046	0	0	true
17	1	246	401	6082	2041	0	0	false
17	2	230	379	7041	2042	0	0	false
17	3	208	362	7013	2046	0	0	false
17	4	229	395	6088	2046	0	0	false
18	0	193	404	701	2046	0	0	true
18	1	241	406	7	2042	0	0	false
18	2	225	384	6081	2043	0	0	false
18	3	202	366	6094	2046	0	0	false
18	4	224	400	7045	2046	0	0	false
19	0	188	409	701	2046	0	0	true
19	1	236	410	7027	2043	0	0	false
19	2	219	389	7025	2043	0	0	false
19	3	197	371	7034	2046	0	0	false
19	4	218	404	7041	2046	0	0	false
20	0	182	413	701	2046	0	0	true
20	1	231	415	701	2044	0	0	false
20	2	214	393	6076	2043	0	0	false
20	3	191	375	6084	2046	0	0	false
20	4	212	409	7007	2046	0	0	false
21	0	177	418	701	2046	0	0	true
21	1	225	420	6095	2044	0	0	false
21	2	209	398	701	2043	0	0	false
21	3	186	380	7009	2046	0	0	false
21	4	207	414	608	2046	0	0	false
22	0	172	422	701	2046	0	0	true
22	1	220	424	7039	2044	0	0	false
22	2	203	402	7013	2044	0	0	false
22	3	180	384	6089	2046	0	0	false
22	4	202	418	609	2046	0	0	false
23	0	172	422	701	2046	0	0	true
23	1	214	429	6087	2044	0	0	false
23	2	198	407	7033	2044	0	0	false
23	3	175	389	7019	2046	0	0	false
23	4	196	422	6082	506	0	0	false
24	0	177	416	7	5043	0	0	true
24	1	209	433	7021	306	0	0	false
24	2	192	412	6078	4086	0	0	false
24	3	169	393	6081	1027	0	0	false
24	4	202	418	7012	301	0	0	false
25	0	182	411	7	5043	0	0	true
25	1	202	430	6088	3071	0	0	false
25	2	193	405	6083	5	0	0	false
25	3	171	400	6091	1013	0	0	false
25	4	195	418	7012	3023	0	0	false
26	0	186	406	7	5043	0	0	true
26	1	197	426	7014	3084	0	0	false
26	2	195	399	6084	5011	0	0	false
26	3	174	406	6087	0093	0	0	false
26	4	187	418	7025	3045	0	0	false
27	0	191	401	7	5043	0	0	true
27	1	191	422	6094	3099	0	0	false
27	2	198	392	7002	5019	0	0	false
27	3	179	411	7034	0067	0	0	false
27	4	181	415	6095	3081	0	0	false
28	0	195	395	7	5043	0	0	true
28	1	187	416	7013	4016	0	0	false
28	2	201	386	7015	5025	0	0	false
28	3	184	416	6099	0031	0	0	false
28	4	175	411	6087	4039	0	0	false
29	0	200	390	7	5043	0	0	true
29	1	183	410	6086	4034	0	0	false
29	2	205	380	6076	503	0	0	false
29	3	191	418	7029	6021	0	0	false
29	4	173	405	7004	4096	0	0	false
30	0	205	385	7	5043	0	0	true
30	1	180	404	7026	4053	0	0	false
30	2	209	374	701	5034	0	0	false
30	3	198	418	7024	5089	0	0	false
30	4	175	398	6087	5026	0	0	false
31	0	209	379	7	5043	0	0	true
31	1	179	397	6097	407	0	0	false
31	2	213	369	7007	5036	0	0	false
31	3	205	415	6081	5068	0	0	false
31	4	178	392	7013	5037	0	0	false
32	0	214	374	7	5043	0	0	true
32	1	179	390	6075	4086	0	0	false
32	2	217	363	7031	5038	0	0	false
32	3	211	411	7004	5057	0	0	false
32	4	183	386	6097	5041	0	0	false
33	0	219	369	7	5043	0	0	true
33	1	180	383	7014	4099	0	0	false
33	2	222	357	6095	5039	0	0	false
33	3	216	406	7008	5051	0	0	false
33	4	187	381	607	5043	0	0	false
34	0	223	364	7	5043	0	0	true
34	1	182	376	6068	5009	0	0	false
34	2	226	352	6077	504	0	0	false
34	3	221	401	7016	5047	0	0	false
34	4	191	376	7022	5043	0	0	false
35	0	228	358	7	5043	0	0	true
35	1	184	370	7008	5017	0	0	false
35	2	230	347	7031	5041	0	0	false
35	3	226	396	7022	5045	0	0	false
35	4	196	370	7011	5043	0	0	false
36	0	232	353	7	5043	0	0	true
36	1	188	364	7015	5024	0	0	false
36	2	235	341	6099	5042	0	0	false
36	3	231	391	6085	5044	0	0	false
36	4	201	365	701	5043	0	0	false
37	0	237	348	7	5043	0	0	true
37	1	191	358	7017	5029	0	0	false
37	2	240	336	7026	5042	0	0	false
37	3	235	386	6085	5044	0	0	false
37	4	206	360	7001	5043	0	0	false
38	0	242	343	7	5043	0	0	true
38	1	195	352	6095	5032	0	0	false
38	2	244	330	703	5042	0	0	false
38	3	240	381	6066	5044	0	0	false
38	4	210	355	7029	5043	0	0	false
39	0	246	337	7	5043	0	0	true
39	1	199	346	6083	5035	0	0	false
39	2	249	325	6082	5043	0	0	false
39	3	244	376	6066	5043	0	0	false
39	4	215	349	6094	5043	0	0	false
40	0	251	332	7	5043	0	0	true
40	1	203	340	7035	5037	0	0	false
40	2	254	319	6075	5043	0	0	false
40	3	249	371	7027	5043	0	0	false
40	4	220	344	6084	5043	0	0	false
41	0	255	327	7	5043	0	0	true
41	1	208	335	6085	5039	0	0	false
41	2	258	314	702	5043	0	0	false
41	3	253	365	6096	5043	0	0	false
41	4	224	339	7028	5043	0	0	false
42	0	260	322	7	5043	0	0	true
42	1	212	329	7026	504	0	0	false
42	2	263	309	6076	5043	0	0	false
42	3	258	360	6095	5043	0	0	false
42	4	229	333	609	5043	0	0	false
43	0	265	316	7	5043	0	0	true
43	1	216	324	6092	5041	0	0	false
43	2	267	304	7018	5043	0	0	false
43	3	263	355	6091	5043	0	0	false
43	4	233	328	6085	5043	0	0	false
44	0	269	311	7	5043	0	0	true
44	1	221	318	6066	5041	0	0	false
44	2	272	298	7023	5043	0	0	false
44	3	267	350	7022	5043	0	0	false
44	4	238	323	6093	5043	0	0	false
45	0	274	306	7	5043	0	0	true
45	1	225	313	6099	5042	0	0	false
45	2	277	293	7013	5043	0	0	false
45	3	272	344	7018	5043	0	0	false
45	4	243	318	608	5043	0	0	false
46	0	275	305	7	5043	0	0	true
46	1	230	308	7007	5042	0	0	false
46	2	281	288	6083	5043	0	0	false
46	3	277	339	7014	5043	0	0	false
46	4	247	313	7	5043	0	0	false
47	0	275	305	7	5043	0	0	true
47	1	234	302	7	5042	0	0	false
47	2	286	283	7007	5043	0	0	false
47	3	281	333	7001	5043	0	0	false
47	4	252	307	7027	2029	0	0	false
48	0	275	305	7	5043	0	0	true
48	1	239	297	6073	5042	0	0	false
48	2	291	277	6077	5043	0	0	false
48	3	286	328	6084	2029	0	0	false
48	4	247	313	6087	5043	0	0	false
49	0	275	305	7	5043	0	0	true
49	1	243	292	6094	5042	0	0	false
49	2	295	272	7015	2029	0	0	false
49	3	282	333	7019	5043	0	0	false
49	4	251	308	7035	2029	0	0	false
50	0	275	305	7	5043	0	0	true
50	1	248	287	7013	2028	0	0	false
50	2	290	278	7026	5043	0	0	false
50	3	286	328	7025	2029	0	0	false
50	4	247	313	7008	5043	0	0	false
51	0	275	305	7	5043	0	0	true
51	1	243	292	7002	5042	0	0	false
51	2	295	272	7015	2029	0	0	false
51	3	281	333	6093	5043	0	0	false
51	4	251	308	703	2029	0	0	false
52	0	275	305	7	5043	0	0	true
52	1	248	287	6098	2028	0	0	false
52	2	290	277	701	5043	0	0	false
52	3	286	328	7032	2029	0	0	false
52	4	246	313	6085	5043	0	0	false
53	0	275	305	7	5043	0	0	true
53	1	243	292	6075	5042	0	0	false
53	2	295	272	7028	2029	0	0	false
53	3	281	334	6091	5043	0	0	false
53	4	251	308	7024	2029	0	0	false
54	0	275	305	7	5043	0	0	true
54	1	247	287	6098	2028	0	0	false
54	2	290	278	7	5043	0	0	false
54	3	286	328	7031	2029	0	0	false
54	4	246	314	7009	5043	0	0	false
55	0	278	297	8033	5007	0	0	true
55	1	243	292	8001	1009	0	0	false
55	2	295	272	8032	4003	0	0	false
55	3	281	334	8017	5047	0	0	false
55	4	251	308	8068	0018	0	0	false
56	0	281	289	8033	5007	0	0	true
56	1	247	299	8062	4075	0	0	false
56	2	290	266	8066	4058	0	0	false
56	3	287	328	8036	5031	0	0	false
56	4	259	310	8073	4069	0	0	false
57	0	284	282	8033	5007	0	0	true
57	1	247	291	8043	4097	0	0	false
