maxsimulationtime=1000	models=Nomadic	sdr=0.05	leadersmodeloffset=0.0,0.0,	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	groupsizes=1,1,	walkingtime=20	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	selected=random initializer	width=500	height=500	selected=squarereflect	selected=NullPowerAlgorithm	maxspeed=10	minspeed=5	maxpausetime=10	selected=Random Walk	maxinitialdistance=30	extratraces=true	pergrouprange=true	adr=0.05	nodenumber=5	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	406	408	8092	1044	0	0	true
1	1	419	392	8098	103	0	0	false
1	2	112	176	9054	0062	0	1	true
1	3	116	184	9031	0068	0	1	false
1	4	121	185	9072	0032	0	1	false
2	0	407	417	8092	1044	0	0	true
2	1	422	401	8075	104	0	0	false
2	2	119	182	9054	0062	0	1	true
2	3	123	190	9014	0041	0	1	false
2	4	130	188	9082	0058	0	1	false
3	0	409	425	8092	1044	0	0	true
3	1	423	410	9022	1035	0	0	false
3	2	127	187	9054	0062	0	1	true
3	3	131	193	906	0037	0	1	false
3	4	139	193	9055	0068	0	1	false
4	0	410	434	8092	1044	0	0	true
4	1	425	419	8066	1058	0	0	false
4	2	135	193	9054	0062	0	1	true
4	3	140	197	9031	0078	0	1	false
4	4	146	199	905	0047	0	1	false
5	0	411	443	8092	1044	0	0	true
5	1	425	427	8054	1055	0	0	false
5	2	143	198	9054	0062	0	1	true
5	3	147	203	9011	0054	0	1	false
5	4	154	203	9074	0063	0	1	false
6	0	412	452	8092	1044	0	0	true
6	1	425	436	9033	1048	0	0	false
6	2	151	204	9054	0062	0	1	true
6	3	155	208	9083	0046	0	1	false
6	4	162	209	9091	0066	0	1	false
7	0	413	461	8092	1044	0	0	true
7	1	426	445	8096	1038	0	0	false
7	2	158	209	9054	0062	0	1	true
7	3	164	213	9077	0047	0	1	false
7	4	170	215	10	0053	0	1	false
8	0	414	470	8092	1044	0	0	true
8	1	428	454	9028	107	0	0	false
8	2	166	215	9054	0062	0	1	true
8	3	172	217	9017	0065	0	1	false
8	4	179	220	9021	0082	0	1	false
9	0	415	479	8092	1044	0	0	true
9	1	427	463	9001	1036	0	0	false
9	2	174	221	9054	0062	0	1	true
9	3	180	223	9012	0052	0	1	false
9	4	185	227	9023	0085	0	1	false
10	0	416	487	8092	1044	0	0	true
10	1	428	472	902	1043	0	0	false
10	2	182	226	9054	0062	0	1	true
10	3	188	227	9051	004	0	1	false
10	4	191	234	9065	0086	0	1	false
11	0	418	496	8092	1044	0	0	true
11	1	430	481	8067	1065	0	0	false
11	2	190	232	9054	0062	0	1	true
11	3	196	231	9078	0085	0	1	false
11	4	197	241	9092	0069	0	1	false
12	0	419	494	8092	4084	0	0	true
12	1	429	490	9023	407	0	0	false
12	2	197	237	9054	0062	0	1	true
12	3	203	238	9056	0056	0	1	false
12	4	205	247	9098	0064	0	1	false
13	0	420	485	8092	4084	0	0	true
13	1	429	481	8049	5007	0	0	false
13	2	205	243	9054	0062	0	1	true
13	3	211	243	9022	0064	0	1	false
13	4	213	253	9031	0072	0	1	false
14	0	421	476	8092	4084	0	0	true
14	1	432	473	8047	4085	0	0	false
14	2	213	248	9054	0062	0	1	true
14	3	218	249	9019	0036	0	1	false
14	4	220	259	9017	003	0	1	false
15	0	422	467	8092	4084	0	0	true
15	1	433	464	8078	5004	0	0	false
15	2	221	254	9054	0062	0	1	true
15	3	227	252	9087	0057	0	1	false
15	4	229	262	908	0032	0	1	false
16	0	423	459	8092	4084	0	0	true
16	1	436	456	9035	4058	0	0	false
16	2	229	259	9054	0062	0	1	true
16	3	235	257	9044	0036	0	1	false
16	4	238	265	9019	0034	0	1	false
17	0	424	450	8092	4084	0	0	true
17	1	435	447	8073	4066	0	0	false
17	2	236	265	9054	0062	0	1	true
17	3	244	260	9085	0086	0	1	false
17	4	247	268	9027	0073	0	1	false
18	0	426	441	8092	4084	0	0	true
18	1	434	438	9002	4056	0	0	false
18	2	244	270	9054	0062	0	1	true
18	3	251	268	9019	0082	0	1	false
18	4	254	275	9029	0073	0	1	false
19	0	427	432	8092	4084	0	0	true
19	1	433	429	9013	4088	0	0	false
19	2	252	276	9054	0062	0	1	true
19	3	257	275	9033	004	0	1	false
19	4	261	281	9024	0072	0	1	false
20	0	428	423	8092	4084	0	0	true
20	1	434	420	8068	4086	0	0	false
20	2	260	281	9054	0062	0	1	true
20	3	265	278	9016	0087	0	1	false
20	4	268	287	9074	0057	0	1	false
21	0	429	417	6075	4089	0	0	true
21	1	436	411	6086	4085	0	0	false
21	2	268	278	809	5091	0	1	true
21	3	271	285	8079	5073	0	1	false
21	4	276	292	8071	5071	0	1	false
22	0	430	410	6075	4089	0	0	true
22	1	436	405	6047	4068	0	0	false
22	2	276	275	809	5091	0	1	true
22	3	279	281	9005	5064	0	1	false
22	4	283	287	8051	6001	0	1	false
23	0	431	403	6075	4089	0	0	true
23	1	436	398	6072	5018	0	0	false
23	2	284	271	809	5091	0	1	true
23	3	286	275	8086	6	0	1	false
23	4	291	285	8068	5089	0	1	false
24	0	432	397	6075	4089	0	0	true
24	1	439	392	6086	4071	0	0	false
24	2	293	268	809	5091	0	1	true
24	3	295	273	9007	6002	0	1	false
24	4	299	282	9001	5084	0	1	false
25	0	434	390	6075	4089	0	0	true
25	1	439	385	7	4081	0	0	false
25	2	301	265	809	5091	0	1	true
25	3	303	270	903	5088	0	1	false
25	4	307	278	8065	5071	0	1	false
26	0	435	383	6075	4089	0	0	true
26	1	440	378	7008	4081	0	0	false
26	2	309	261	809	5091	0	1	true
26	3	312	267	8058	5063	0	1	false
26	4	315	273	8059	6022	0	1	false
27	0	436	377	6075	4089	0	0	true
27	1	441	371	6085	5016	0	0	false
27	2	318	258	809	5091	0	1	true
27	3	319	261	8098	5099	0	1	false
27	4	323	273	8059	5069	0	1	false
28	0	437	370	6075	4089	0	0	true
28	1	444	365	6059	4089	0	0	false
28	2	326	255	809	5091	0	1	true
28	3	327	259	8081	5092	0	1	false
28	4	330	268	8081	5059	0	1	false
29	0	438	363	6075	4089	0	0	true
29	1	445	359	6058	409	0	0	false
29	2	334	252	809	5091	0	1	true
29	3	335	256	9007	6016	0	1	false
29	4	337	262	806	6002	0	1	false
30	0	440	357	6075	4089	0	0	true
30	1	446	352	6044	4058	0	0	false
30	2	342	248	809	5091	0	1	true
30	3	344	255	8048	5066	0	1	false
30	4	346	260	8086	5085	0	1	false
31	0	441	350	6075	4089	0	0	true
31	1	445	346	6043	501	0	0	false
31	2	351	245	809	5091	0	1	true
31	3	351	250	8049	5071	0	1	false
31	4	354	256	8061	506	0	1	false
32	0	442	343	6075	4089	0	0	true
32	1	448	340	6044	4059	0	0	false
32	2	359	242	809	5091	0	1	true
32	3	358	245	8073	5086	0	1	false
32	4	360	251	8066	6021	0	1	false
33	0	443	337	6075	4089	0	0	true
33	1	447	333	6057	4062	0	0	false
33	2	367	238	809	5091	0	1	true
33	3	366	242	9019	5086	0	1	false
33	4	369	250	8048	6003	0	1	false
34	0	444	330	6075	4089	0	0	true
34	1	446	327	6097	5019	0	0	false
34	2	375	235	809	5091	0	1	true
34	3	375	238	8083	6	0	1	false
34	4	377	248	8086	6	0	1	false
35	0	446	324	6075	4089	0	0	true
35	1	449	321	6077	4088	0	0	false
35	2	384	232	809	5091	0	1	true
35	3	383	235	8063	5077	0	1	false
35	4	386	246	8063	5092	0	1	false
