maxsimulationtime=1000	models=Nomadic	sdr=0.05	leadersmodeloffset=0.0,0.0,	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	groupsizes=1,	walkingtime=20	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	selected=random initializer	width=500	height=500	selected=squarereflect	selected=NullPowerAlgorithm	maxspeed=10	minspeed=5	maxpausetime=10	selected=Random Walk	maxinitialdistance=30	extratraces=true	pergrouprange=true	adr=0.05	nodenumber=5	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	392	346	9017	2028	0	0	true
1	1	362	327	9033	2057	0	0	false
1	2	368	360	809	2035	0	0	false
1	3	382	351	9045	2056	0	0	false
1	4	362	372	9012	2056	0	0	false
2	0	386	353	9017	2028	0	0	true
2	1	354	332	9009	2001	0	0	false
2	2	362	367	9063	2034	0	0	false
2	3	374	356	9045	2027	0	0	false
2	4	354	377	9007	2022	0	0	false
3	0	380	360	9017	2028	0	0	true
3	1	350	341	9061	2011	0	0	false
3	2	355	374	8081	2014	0	0	false
3	3	368	363	8096	2036	0	0	false
3	4	348	384	9058	2042	0	0	false
4	0	374	367	9017	2028	0	0	true
4	1	345	349	9017	2041	0	0	false
4	2	350	381	8072	2014	0	0	false
4	3	362	370	902	2051	0	0	false
4	4	341	391	9062	2001	0	0	false
5	0	368	373	9017	2028	0	0	true
5	1	338	355	8086	2033	0	0	false
5	2	345	388	8076	2058	0	0	false
5	3	354	375	9034	2059	0	0	false
5	4	337	399	9052	2057	0	0	false
6	0	362	380	9017	2028	0	0	true
6	1	332	361	905	2019	0	0	false
6	2	338	393	9019	2	0	0	false
6	3	346	380	906	2026	0	0	false
6	4	329	405	9025	2027	0	0	false
7	0	356	387	9017	2028	0	0	true
7	1	327	369	9063	2013	0	0	false
7	2	334	401	9061	2029	0	0	false
7	3	340	387	9047	2042	0	0	false
7	4	323	412	905	2022	0	0	false
8	0	350	394	9017	2028	0	0	true
8	1	322	377	9043	2045	0	0	false
8	2	328	409	9025	2008	0	0	false
8	3	333	394	8088	2049	0	0	false
8	4	317	419	9023	2053	0	0	false
9	0	344	401	9017	2028	0	0	true
9	1	314	383	9004	2057	0	0	false
9	2	323	417	9031	2003	0	0	false
9	3	326	399	9026	2044	0	0	false
9	4	310	424	8093	205	0	0	false
10	0	338	408	9017	2028	0	0	true
10	1	307	388	9054	2039	0	0	false
10	2	319	425	903	2059	0	0	false
10	3	319	405	808	2033	0	0	false
10	4	303	430	9011	2035	0	0	false
11	0	332	415	9017	2028	0	0	true
11	1	300	395	9003	2042	0	0	false
11	2	311	430	8097	2055	0	0	false
11	3	313	411	8072	2049	0	0	false
11	4	296	436	9026	2055	0	0	false
12	0	326	422	9017	2028	0	0	true
12	1	293	401	8099	2021	0	0	false
